Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,23.299999,24.860001,23.020000,24.440001,24.440001,422654
2022-01-04,24.799999,25.500000,24.020000,24.180000,24.180000,377751
2022-01-05,24.459999,24.459999,23.500000,23.820000,23.820000,154028
2022-01-06,23.500000,23.540001,22.940001,22.980000,22.980000,251372
2022-01-07,23.480000,23.480000,22.860001,23.100000,23.100000,160387
2022-01-10,19.850000,20.500000,19.600000,19.879999,19.879999,1333549
2022-01-11,20.480000,20.480000,19.750000,20.200001,20.200001,428992
2022-01-12,20.900000,21.500000,20.120001,21.000000,21.000000,417152
2022-01-13,21.020000,21.440001,20.799999,20.840000,20.840000,178182
2022-01-14,21.000000,21.000000,20.100000,20.500000,20.500000,179084
2022-01-17,20.500000,20.780001,20.020000,20.219999,20.219999,174065
2022-01-18,20.200001,20.219999,19.500000,19.770000,19.770000,222013
2022-01-19,19.500000,19.590000,19.059999,19.490000,19.490000,215357
2022-01-20,13.800000,14.900000,13.700000,14.010000,14.010000,5695876
2022-01-21,14.000000,14.000000,13.520000,13.680000,13.680000,2075841
2022-01-24,13.900000,13.900000,12.720000,12.910000,12.910000,1469226
2022-01-25,13.260000,13.690000,12.950000,13.270000,13.270000,1287570
2022-01-26,13.640000,13.640000,13.000000,13.160000,13.160000,598199
2022-01-27,13.100000,13.900000,13.030000,13.770000,13.770000,833524
2022-01-28,13.880000,13.880000,13.130000,13.420000,13.420000,660793
2022-01-31,13.870000,13.950000,13.400000,13.550000,13.550000,618290
2022-02-01,13.800000,14.200000,13.650000,14.030000,14.030000,810543
2022-02-02,14.100000,14.460000,13.860000,14.060000,14.060000,1039538
2022-02-03,13.990000,13.990000,13.360000,13.460000,13.460000,651687
2022-02-04,13.700000,13.920000,13.330000,13.740000,13.740000,414923
2022-02-07,13.750000,13.800000,13.540000,13.800000,13.800000,253936
2022-02-08,13.940000,14.140000,13.560000,13.710000,13.710000,403583
2022-02-09,14.000000,14.190000,13.830000,14.010000,14.010000,236576
2022-02-10,14.190000,14.200000,13.680000,13.850000,13.850000,378936
2022-02-11,13.850000,13.900000,13.640000,13.720000,13.720000,449419
2022-02-14,13.700000,13.720000,12.830000,12.950000,12.950000,891165
2022-02-15,13.200000,13.200000,12.850000,13.080000,13.080000,324458
2022-02-16,13.750000,13.750000,13.090000,13.150000,13.150000,409990
2022-02-17,13.460000,13.460000,13.000000,13.230000,13.230000,282528
2022-02-18,13.400000,13.470000,12.890000,12.950000,12.950000,785920
2022-02-21,13.040000,13.180000,12.180000,12.230000,12.230000,626337
2022-02-22,12.190000,12.810000,11.800000,12.630000,12.630000,617813
2022-02-23,12.500000,12.890000,12.440000,12.470000,12.470000,196355
2022-02-24,12.030000,13.490000,11.590000,13.390000,13.390000,1251591
2022-02-25,13.700000,13.950000,13.150000,13.500000,13.500000,575672
2022-02-28,13.290000,14.200000,13.290000,13.960000,13.960000,804132
2022-03-01,11.400000,12.200000,11.400000,12.030000,12.030000,1266897
2022-03-02,12.140000,12.340000,11.800000,12.140000,12.140000,406208
2022-03-03,12.100000,12.250000,11.810000,11.940000,11.940000,386681
2022-03-04,11.840000,11.840000,11.430000,11.550000,11.550000,348089
2022-03-07,11.020000,11.240000,10.580000,10.930000,10.930000,693896
2022-03-08,11.120000,11.700000,10.990000,11.700000,11.700000,298796
2022-03-09,11.970000,13.690000,11.970000,12.740000,12.740000,1270579
2022-03-10,13.130000,13.460000,12.700000,13.440000,13.440000,458455
2022-03-11,13.500000,13.620000,13.090000,13.250000,13.250000,228233
2022-03-14,13.500000,13.920000,12.960000,13.820000,13.820000,681119
2022-03-15,13.820000,13.980000,13.290000,13.470000,13.470000,486426
2022-03-16,13.510000,14.080000,13.510000,13.870000,13.870000,192163
2022-03-17,14.200000,14.450000,14.100000,14.270000,14.270000,272677
2022-03-18,14.400000,15.200000,13.900000,15.200000,15.200000,824309
2022-03-21,15.410000,15.780000,14.870000,15.010000,15.010000,650863
2022-03-22,15.120000,15.120000,14.460000,14.600000,14.600000,442080
2022-03-23,14.750000,14.780000,14.450000,14.630000,14.630000,186808
2022-03-24,14.930000,15.260000,14.330000,15.060000,15.060000,397511
2022-03-25,14.910000,15.130000,14.730000,14.880000,14.880000,317424
2022-03-28,15.700000,15.700000,14.820000,15.200000,15.200000,374758
2022-03-29,15.300000,15.500000,15.070000,15.290000,15.290000,262305
2022-03-30,15.500000,15.560000,14.800000,15.000000,15.000000,546535
2022-03-31,15.200000,15.200000,14.560000,15.000000,15.000000,211525
2022-04-01,15.050000,15.130000,14.630000,15.100000,15.100000,205981
2022-04-04,15.350000,15.350000,14.710000,15.000000,15.000000,239071
2022-04-05,15.200000,15.440000,14.940000,14.980000,14.980000,401797
2022-04-06,15.110000,15.210000,14.450000,14.500000,14.500000,615275
2022-04-07,14.940000,14.940000,14.200000,14.400000,14.400000,180562
2022-04-08,14.350000,14.360000,13.850000,13.870000,13.870000,316167
2022-04-11,13.650000,14.130000,13.650000,13.990000,13.990000,225344
2022-04-12,13.990000,14.290000,13.700000,14.080000,14.080000,219544
2022-04-13,14.010000,14.250000,13.970000,14.020000,14.020000,98899
2022-04-19,14.600000,15.090000,13.710000,15.090000,15.090000,349319
2022-04-20,15.000000,15.210000,14.420000,14.520000,14.520000,349254
2022-04-21,14.500000,14.850000,14.250000,14.590000,14.590000,234106
2022-04-22,14.480000,14.480000,14.050000,14.190000,14.190000,158730
2022-04-25,14.250000,14.250000,13.870000,14.100000,14.100000,222608
2022-04-26,14.100000,14.110000,13.520000,13.890000,13.890000,149631
2022-04-27,13.820000,13.960000,13.530000,13.650000,13.650000,217964
2022-04-28,13.360000,13.700000,13.260000,13.700000,13.700000,252485
2022-04-29,13.990000,14.400000,13.800000,14.400000,14.400000,179990
2022-05-02,14.150000,14.190000,13.740000,14.000000,14.000000,220125
2022-05-03,14.010000,14.740000,13.940000,14.170000,14.170000,313474
2022-05-04,14.200000,14.210000,13.720000,13.820000,13.820000,162609
2022-05-05,13.820000,14.130000,13.600000,14.090000,14.090000,288169
2022-05-06,13.400000,14.100000,13.400000,13.930000,13.930000,262238
2022-05-09,14.290000,14.290000,13.400000,13.500000,13.500000,297684
2022-05-10,13.170000,13.990000,13.130000,13.990000,13.990000,167962
2022-05-11,14.000000,14.130000,13.600000,13.770000,13.770000,183774
2022-05-12,13.800000,13.800000,13.150000,13.560000,13.560000,230324
2022-05-13,13.100000,13.100000,10.850000,11.040000,11.040000,2394243
2022-05-16,11.040000,11.360000,10.630000,10.720000,10.720000,901490
2022-05-18,10.980000,11.220000,10.590000,10.790000,10.790000,566684
2022-05-19,10.790000,11.720000,10.520000,11.630000,11.630000,603162
2022-05-20,11.800000,12.190000,11.730000,11.730000,11.730000,403469
2022-05-23,11.900000,11.990000,11.440000,11.700000,11.700000,276803
2022-05-24,11.850000,11.860000,11.290000,11.480000,11.480000,253037
2022-05-25,11.700000,11.700000,11.100000,11.150000,11.150000,176482
2022-05-27,11.150000,11.550000,11.030000,11.420000,11.420000,163418
2022-05-30,11.820000,11.820000,11.250000,11.570000,11.570000,391968
2022-05-31,11.750000,11.890000,11.340000,11.550000,11.550000,707683
2022-06-01,11.560000,11.570000,10.560000,10.800000,10.800000,784540
2022-06-02,7.520000,8.135000,7.155000,7.320000,7.320000,5985982
2022-06-03,7.490000,7.490000,6.810000,6.825000,6.825000,3407238
2022-06-07,6.950000,7.390000,6.740000,6.800000,6.800000,2585892
2022-06-08,6.890000,7.180000,6.745000,6.940000,6.940000,1319950
2022-06-09,7.000000,7.890000,6.805000,7.665000,7.665000,2003925
2022-06-10,7.730000,8.110000,7.370000,7.420000,7.420000,1714008
2022-06-13,7.385000,7.385000,6.660000,6.670000,6.670000,1281723
2022-06-14,6.675000,7.025000,6.630000,6.860000,6.860000,545995
2022-06-15,6.990000,6.990000,6.450000,6.565000,6.565000,653441
2022-06-16,6.650000,6.800000,6.500000,6.600000,6.600000,716820
2022-06-17,6.620000,6.880000,6.590000,6.800000,6.800000,493428
2022-06-20,6.990000,7.465000,6.875000,7.405000,7.405000,531220
2022-06-21,7.480000,7.780000,7.235000,7.265000,7.265000,528941
2022-06-22,2.912000,3.340000,2.900000,3.238000,3.238000,18065016
2022-06-23,3.300000,3.800000,3.030000,3.790000,3.790000,11610191
2022-06-24,3.818000,3.862000,2.622000,2.752000,2.752000,16420947
2022-06-27,2.700000,2.970000,2.570000,2.930000,2.930000,5518737
2022-06-28,2.980000,2.980000,2.770000,2.846000,2.846000,2695725
2022-06-29,2.896000,2.896000,2.770000,2.810000,2.810000,1029781
2022-06-30,2.870000,2.870000,2.490000,2.518000,2.518000,2966447
2022-07-01,2.590000,2.700000,2.520000,2.580000,2.580000,1400326
2022-07-04,2.700000,2.730000,2.544000,2.630000,2.630000,1634093
2022-07-05,2.684000,2.684000,2.520000,2.568000,2.568000,1111508
2022-07-06,1.405000,1.650000,1.311000,1.540000,1.540000,15555450
2022-07-07,1.550000,1.749000,1.520000,1.700000,1.700000,7318390
2022-07-08,1.739000,1.849000,1.627000,1.790000,1.790000,4378843
2022-07-11,1.770000,1.774000,1.530000,1.542000,1.542000,3938431
2022-07-12,1.640000,1.640000,1.450000,1.481000,1.481000,2520657
2022-07-13,1.480000,1.491000,1.382000,1.408000,1.408000,3554794
2022-07-14,1.400000,1.660000,1.400000,1.615000,1.615000,5453446
2022-07-15,1.501000,1.760000,1.486000,1.664000,1.664000,3958420
2022-07-18,1.675000,1.706000,1.620000,1.665000,1.665000,1664443
2022-07-19,1.700000,1.931000,1.620000,1.896000,1.896000,2067896
2022-07-20,1.990000,2.186000,1.844000,1.870000,1.870000,2844431
2022-07-21,1.859000,2.010000,1.831000,1.882000,1.882000,1412813
2022-07-22,1.882000,1.900000,1.823000,1.888000,1.888000,747571
2022-07-25,1.900000,1.900000,1.759000,1.795000,1.795000,812914
2022-07-26,1.800000,1.830000,1.703000,1.780000,1.780000,1456738
2022-07-27,1.819000,1.835000,1.731000,1.812000,1.812000,1164572
2022-07-28,1.819000,1.820000,1.750000,1.799000,1.799000,370830
2022-07-29,1.785000,1.851000,1.756000,1.850000,1.850000,536618
2022-08-01,1.850000,3.342000,1.800000,2.938000,2.938000,11501190
2022-08-02,2.900000,2.900000,2.360000,2.542000,2.542000,7708343
2022-08-03,2.588000,2.676000,2.300000,2.456000,2.456000,4047302
2022-08-04,2.500000,2.500000,2.312000,2.390000,2.390000,2404222
2022-08-05,2.436000,2.436000,2.200000,2.230000,2.230000,3024927
2022-08-08,2.200000,2.600000,2.068000,2.544000,2.544000,3975931
2022-08-09,2.550000,2.550000,2.260000,2.310000,2.310000,2973505
2022-08-10,2.302000,2.416000,2.192000,2.362000,2.362000,1956017
2022-08-11,2.430000,2.430000,2.284000,2.378000,2.378000,1358738
2022-08-12,2.360000,2.660000,2.302000,2.630000,2.630000,3863777
2022-08-15,2.650000,2.692000,2.538000,2.624000,2.624000,1227475
2022-08-16,2.662000,2.662000,2.482000,2.486000,2.486000,912770
2022-08-17,2.420000,2.558000,2.322000,2.484000,2.484000,912360
2022-08-18,2.494000,2.500000,2.350000,2.412000,2.412000,1115584
2022-08-19,2.418000,2.750000,2.370000,2.370000,2.370000,2648688
2022-08-22,2.440000,2.440000,2.228000,2.260000,2.260000,1226475
2022-08-23,2.300000,2.338000,2.170000,2.274000,2.274000,972749
2022-08-24,2.250000,2.272000,2.160000,2.178000,2.178000,815201
2022-08-25,2.200000,2.260000,2.152000,2.246000,2.246000,1322642
2022-08-26,2.280000,2.298000,2.120000,2.170000,2.170000,1007479
2022-08-29,2.052000,2.090000,1.900000,1.980000,1.980000,1801506
2022-08-30,2.094000,2.094000,1.845000,1.896000,1.896000,769454
2022-08-31,1.460000,1.837000,1.429000,1.800000,1.800000,3111014
2022-09-01,1.800000,1.840000,1.700000,1.718000,1.718000,1388523
2022-09-02,1.700000,1.769000,1.661000,1.750000,1.750000,953768
2022-09-05,1.750000,1.750000,1.593000,1.620000,1.620000,1113317
2022-09-06,1.620000,1.641000,1.500000,1.534000,1.534000,1165460
2022-09-07,1.560000,1.614000,1.515000,1.614000,1.614000,761208
2022-09-08,1.699000,1.699000,1.551000,1.593000,1.593000,880733
2022-09-09,1.563000,1.695000,1.563000,1.695000,1.695000,328610
2022-09-12,1.610000,1.750000,1.610000,1.700000,1.700000,439298
2022-09-13,1.620000,1.700000,1.550000,1.620000,1.620000,594456
2022-09-14,1.560000,1.597000,1.510000,1.568000,1.568000,474129
2022-09-15,1.530000,1.584000,1.462000,1.500000,1.500000,402452
2022-09-16,1.482000,1.482000,1.367000,1.371000,1.371000,3310406
2022-09-19,1.410000,1.420000,1.302000,1.336000,1.336000,1093836
2022-09-20,1.341000,1.399000,1.273000,1.325000,1.325000,1114573
2022-09-21,1.270000,1.404000,1.270000,1.301000,1.301000,260097
2022-09-22,1.290000,1.312000,1.244000,1.258000,1.258000,532463
2022-09-23,1.200000,1.210000,1.160000,1.203000,1.203000,849188
2022-09-26,1.165000,1.200000,1.111000,1.200000,1.200000,542410
2022-09-27,1.190000,1.190000,1.127000,1.148000,1.148000,543548
2022-09-28,1.100000,1.149000,1.062000,1.143000,1.143000,853658
2022-09-29,1.190000,1.190000,1.090000,1.149000,1.149000,336333
2022-09-30,1.080000,1.134000,1.077000,1.129000,1.129000,611463
2022-10-03,1.120000,1.259000,1.060000,1.135000,1.135000,350123
2022-10-04,1.135000,1.208000,1.135000,1.180000,1.180000,365061
2022-10-05,1.200000,1.200000,1.145000,1.151000,1.151000,395455
2022-10-06,1.200000,1.200000,1.147000,1.182000,1.182000,267040
2022-10-07,1.190000,1.230000,1.167000,1.200000,1.200000,616762
2022-10-10,1.120000,1.236000,1.120000,1.230000,1.230000,673492
2022-10-11,1.230000,1.230000,1.124000,1.160000,1.160000,603389
2022-10-12,1.140000,1.176000,1.134000,1.158000,1.158000,438883
2022-10-13,1.158000,1.175000,1.112000,1.164000,1.164000,744933
2022-10-14,1.152000,1.220000,1.152000,1.166000,1.166000,619325
2022-10-17,1.222000,1.600000,1.222000,1.379000,1.379000,4124483
2022-10-18,1.384000,1.499000,1.281000,1.281000,1.281000,2259066
2022-10-19,1.297000,1.300000,1.248000,1.258000,1.258000,282981
2022-10-20,1.390000,1.390000,1.260000,1.301000,1.301000,926950
2022-10-21,1.330000,1.331000,1.247000,1.268000,1.268000,564736
2022-10-24,1.261000,1.270000,1.231000,1.263000,1.263000,228413
2022-10-25,1.240000,1.297000,1.210000,1.210000,1.210000,293410
2022-10-26,1.299000,1.299000,1.236000,1.264000,1.264000,520797
2022-10-27,1.299000,1.299000,1.222000,1.231000,1.231000,747963
2022-10-28,1.230000,1.254000,1.208000,1.224000,1.224000,928775
